app_name,app_package,app_categoryId,reviewId,review,reply,userName,score,at
Le Chat by Mistral AI,ai.mistral.chat,PRODUCTIVITY,19a487e6-8ea3-47f0-af18-a52d7fcb6421,excellent chat AI system. particularly love the privacy policy of Mistral and the high speed in the AI's responses. would love to have the chain-of-thought part as an option since it doesn't add any value to my experience as a user. kudos to the AI engineers and the app developers! UPDATE: today the app suddenly stopped working. the chatbot works fine on the web. tried reinstalling it without any luck. shame though because I had become partial to it... Switching to mobile browser from now on...,,Jim Fibonacci,1.0,"Jul 17, 2025"
Le Chat by Mistral AI,ai.mistral.chat,PRODUCTIVITY,9c65ecbd-1369-4fc9-a224-ae4b238acc1f,Great,,AngPi Bav,5.0,"Jul 17, 2025"
Le Chat by Mistral AI,ai.mistral.chat,PRODUCTIVITY,f65b9153-f61b-4d5b-8cfc-ffcdb6aef0f1,"It worked well in the free & anonymous version. But now I am getting the message: "" No catnip for you. it seems you have not been granted access to this feature"" What has changed?",,MC F,1.0,"Jul 16, 2025"
Le Chat by Mistral AI,ai.mistral.chat,PRODUCTIVITY,e21b3143-4dbf-4bbf-9e42-9521d9a2e2c0,Gonna have to give it a 1 star review until bug reports can be submitted in the app. There's currently a bug where whenever you switch back to the app it will pause whatever music you have playing for some reason. that makes the app pretty much not able to be used.,,Andrew Ridgway,1.0,"Jul 16, 2025"
Le Chat by Mistral AI,ai.mistral.chat,PRODUCTIVITY,68c3e9bd-e177-4ecb-9aee-484619203eed,c'est tr�s rapide,,Gabe Herbert,5.0,"Jul 14, 2025"
Le Chat by Mistral AI,ai.mistral.chat,PRODUCTIVITY,50cd2aa3-8f04-4761-98b3-03189f607036,it's superfast and adapts quickly,,Manuel Festas Franco,5.0,"Jul 14, 2025"
Le Chat by Mistral AI,ai.mistral.chat,PRODUCTIVITY,43086497-862e-4ff7-aefe-61819e5d3326,uhh it's lagging a bit too much n glitching too in between I appreciate its fast response but the ui is glitching I hope you guys fix it thanks,,U�k�0Wn 690,3.0,"Jul 13, 2025"
Le Chat by Mistral AI,ai.mistral.chat,PRODUCTIVITY,1181c872-fd7d-4ed9-aa13-fc0526e46dd8,very good !!,,kaos jimenez,5.0,"Jul 13, 2025"
Le Chat by Mistral AI,ai.mistral.chat,PRODUCTIVITY,5fb81810-9480-4b17-84a0-fcc30e2dc2c7,excelent,,mohammad reza haji abootalebi,5.0,"Jul 13, 2025"
Le Chat by Mistral AI,ai.mistral.chat,PRODUCTIVITY,bc852980-9781-4fa3-bb79-6f7415e47c82,often hangs forever losing the prompt. This has been going on for months,,Pierre,2.0,"Jul 13, 2025"
Le Chat by Mistral AI,ai.mistral.chat,PRODUCTIVITY,630aa64e-9d54-4613-b598-1439ce39e34e,Does the job very well. Recommend.,,Frangan,5.0,"Jul 13, 2025"
