app_package,app_name,developer_name,app_category,description,content_rating,num_reviews,price,avg_rating,rank,interactions
us.zoom.videomeetings,ZOOM Cloud Meetings,zoom.us,Business,"Stay connected wherever you go – start or join a secure meeting with flawless video and audio, instant screen sharing, and cross-platform instant messaging - for free!

Zoom is #1 in customer satisfaction and the best unified communication experience on mobile.

It's super easy! Install the free Zoom app, click on ""New Meeting,"" and invite up to 100 people to join you on video! Connect with anyone on Android based phones and tablets, other mobile devices, Windows, Mac, Zoom Rooms, H.323/SIP room systems, and telephones.

VIDEO MEETINGS FROM ANYWHERE
-Best video meeting quality
-Easily join a meeting or start an instant meeting with phone, email, or company contacts

COLLABORATE ON-THE-GO
-Best Android device content and mobile screen sharing quality
-Co-annotate over shared content
-Real-time whiteboard collaboration on Android tablets

UNLIMITED MESSAGING (WITH PHOTOS, FILES, AND MORE)
-Reach people instantly to easily send messages, files, images, links, and gifs
-Quickly respond or react to threaded conversations with emojis
-Create or join public and private chat channels

MAKE, RECEIVE, AND MANAGE PHONE CALLS
-Effortlessly make or receive calls with your business number
-Get voicemail and call recording with transcripts
-Use call delegation to make/receive calls on behalf of others
-Setup auto-receptionists to autonomously answer and route calls

AND MORE….
-Safe driving mode while on the road
-Use your Android app to start your meeting or for direct share in Zoom Rooms
-Join Zoom Webinars
-Attend OnZoom events (US Beta only)
-Works over WiFi, 5G, 4G/LTE, and 3G networks

ZOOM LICENSE INFORMATION:
-Any free or paid license can be used with the app
-Zoom Phone is an add-on to paid Zoom licenses
-A paid Zoom subscription is required for certain product features

Follow us on social @zoom!

Have a question? Contact us at http://support.zoom.us.",Everyone,"3,612,438",Install,4.4,1,10904
com.microsoft.teams,Microsoft Teams,Microsoft Corporation,Business,"Whether you’re working with teammates on a project or planning a weekend activity with loved ones, Microsoft Teams helps bring people together so that they can get things done. It’s the only app that has chats, meetings, files, tasks, and calendar in one place—so you can easily connect with people and bring plans to life. Get family and friends together to manage tasks at home or plan a surprise birthday party. Work with teammates via secure meetings, document collaboration, and built-in cloud storage. You can do it all in Microsoft Teams.

Easily connect with anyone:
• Meet securely with teammates, family, and friends. Set up a video meeting within seconds and invite anyone by sharing a link or calendar invite.
• Chat 1-1 or in group chats with friends or colleagues. @mention people in chats to get their attention.
• Dedicated channels help create a focused workspace for important projects.
• Video call anyone directly in Teams or instantly convert a group chat to video call.
• GIFs, emojis, and message animations make it easier to express yourself when words aren’t enough.

Accomplish plans and projects together:
• Task lists allow you to stay on top of work projects or plans with family and friends. Assign tasks, set due dates, and cross off completed tasks to keep everyone on the same page.
• File sharing in chats makes it easier to coordinate on work assignments or personal projects.
• Cloud storage makes it easy to access shared documents and files on the go.
• Dashboard view neatly organizes all shared content—photos, files, tasks, links—so you don’t have to spend time looking for things*.
• Screenshare, whiteboard, or breakout in virtual rooms to get most out of your work meetings.

Designed to give you peace of mind:
• Securely collaborate with external partners for work assignments while maintaining control over your data.
• Store important information such as subscription passwords in a digital Safe*.
• Enterprise-level security and compliance you expect from Microsoft 365**.

*Available when using Microsoft Teams with your personal account.

**Commercial features of this app require a paid Microsoft 365 commercial subscription, or a trial subscription of Microsoft Teams for work. If you’re not sure about your company’s subscription or the services you have access to, visit Office.com/Teams to learn more or contact your IT department.

By downloading Teams, you agree to the license (see aka.ms/eulateamsmobile) and privacy terms (see aka.ms/privacy). For support or feedback, email us at mtandapp@microsoft.com. EU Contract Summary: aka.ms/EUContractSummary",Everyone,"4,900,691",Install,4.7,2,6704
com.google.android.apps.meetings,Google Meet,Google LLC,Business,"Securely connect, collaborate, and celebrate from anywhere. With Google Meet, everyone can safely create and join high-quality video meetings for groups of up to 250 people.

• Meet safely - video meetings are encrypted in transit and our array of safety measures are continuously updated for added protection
• Host large meetings - invite up to 250 participants to a meeting, whether they’re in the same team or outside of your organization
• Engage in meetings - engage on meetings without interrupting, through Q&A, Polls, and Hand Raise
• Easy access on any device - share a link and invite team members to join your conversations with one click from a web browser or the Google Meet mobile app
• Share your screen - present documents, slides, and more during your conference call.
• Follow along - live, real-time captions powered by Google speech-to-text technology

*Tile view for Android tablets coming soon.
**Not all features available for free users.

Anyone can join a meeting on Meet via an invitation. However, some capabilities are available only to Google Workspace customers.

With Google Workspace , you and your team can:
• Enjoy helpful features like live captions, breakout rooms, and noise cancellation* to make meetings more productive.
• Attend meetings on the go. Meetings organized by Google Workspace users also create a dial-in phone number for each meeting, so every guest can join – even without wifi or data.
• Seamlessly jump into a video call from Chat or take document collaboration to the next level by connecting over video – everything ties together so you can always connect and collaborate in context.

Learn more about Google Meet: https://workspace.google.com/products/meet/

*Not available in all Workspace plans.

Follow us for more:
Twitter: https://twitter.com/googleworkspace
Linkedin: https://www.linkedin.com/showcase/googleworkspace
Facebook: https://www.facebook.com/googleworkspace/",Everyone,"2,085,857",Install,4.1,3,6366
com.doordash.driverapp,DoorDash - Dasher,DoorDash,Business,"Enjoy the freedom to be your own boss and earn money on your schedule. Plus, get 100% of your tips, always.

* CASH AFTER EVERY DASH *
Get paid right after every dash, automatically, with no deposit fees — ever.

* EARN WITH NUMBER ONE *
Make money delivering with the #1 Food & Drink Delivery app, available in 7,000+ cities in the US.

* START RIGHT NOW *
Sign up to deliver in minutes. You only need your smartphone and transportation (bike, car, scooter, or motorcycle) to start.

* BE SUPPORTED *
Your app will show you where you’re going and when to get there. Plus 24/7 help is available if you need it.

* SET YOUR OWN SCHEDULE *
Choose your own hours and enjoy flexibility over hourly, seasonal, or full-time work. Start and stop whenever you want.

* FIND WORK NEAR YOU *
Work wherever you want. DoorDash is available in 7,000+ cities across the U.S., Australia, Canada, Japan and Germany. In select markets, you’ll be able to accept orders from Caviar, too!

* RESTAURANTS AND MORE *
Make money by completing deliveries from restaurants, convenience stores, grocery stores, and pet stores, too.


DoorDash is available in over 7,000 cities in all 50 U.S. states, including Washington, D.C. and Puerto Rico; over 80 cities in Canada; and Melbourne, Australia, with more coming soon.

Find out if we’re in your area and learn more here: doordash.com/dasher/signup

Caviar Couriers can sign up using the DoorDash - Driver app",Everyone,"112,261",Install,2.9,4,6067
com.cisco.webex.meetings,Webex Meetings,"Cisco Systems, Inc.",Business,"Don’t let being away from the office slow your business down. Experience secure, productive meetings from wherever you are.

Webex Meetings delivers over 25 billion meetings per month, offering industry-leading video and audio conferencing with sharing, chat, and more. Experience why Webex Meetings is the most trusted video conferencing solution today.

General features:
• Join and present from any meeting, event, or training session
• Hands-free voice commands with Google Assistant and Google Home Hub
• Seamless joining directly from your calendar or customizable widget
• Schedule meetings or playback recordings directly from your app
• Customizable video layouts and virtual backgrounds
• Share your screen to everyone

Want to learn more? See https://help.webex.com/nowvmhw/.

Follow us:
• Twitter - https://twitter.com/webex
• Facebook - https://www.facebook.com/CiscoCollab

By installing this application, you are accepting the Terms of Service (http://www.webex.com/terms-of-service-text.html) and Privacy Statement (https://www.cisco.com/web/siteassets/legal/privacy.html) and are consenting to receive communications, updates, and upgrades for Webex services. Webex may collect meeting usage data and personal information, such as your email address, from your computer or device.

What's New in Version 42.2.0?
- Close Captioning improvement to avoid overlap with video or shared content
- Bug fixes

Old information to be transferred to Collabhelp Usage Guide

REQUIREMENTS

Android OS 6.0+

Dual-core CPU is required for video.

Webex service is not available in all countries. See www.webex.com for information.",Everyone,"1,783,519",Install,4.3,5,5755
com.fedex.ida.android,FedEx Mobile,FedEx,Business,"Create a domestic and international shipping label, track shipment status and manage your packages wherever you are with the FedEx Mobile app. Use the app to get quick rates, find a pickup or drop off location, scan bar codes, and view rewards. Enroll in FedEx Delivery Manager® to customize when and where you’d like to receive your packages.

Available in all regions
• Track the status of all incoming or outgoing packages
• Create a mobile shipment label and request a pickup**
• Enable push notifications to get updates on your shipments and a sound notification on delivered shipments*
• Scan a barcode for easy tracking*
• Find a FedEx location near you*
• View or cancel a scheduled pickup
• Create a new pickup
• Get shipment cost estimates and delivery times
• Access your shipper address book
• Log in with finger or facial recognition
• Search your list of shipments by tracking number, references, vendors and more



Available in some regions

• Enroll in FedEx Delivery Manager to:
o Hold a package at a preferred FedEx location
o Leave delivery instructions for the courier
o Sign for a package requiring your signature
o Request a vacation hold
• Reroute your package to a FedEx location to pick up at your convenience
• Ship directly to a FedEx-designated location
• Scan your door tag to get information and options regarding your missed shipment
• Access a chat assistant for FedEx Mobile app and services questions
• Create a login for more convenient tracking
• View rewards


Thank you for using the FedEx Mobile app! Have feedback? Email us at mobile@fedex.com.

FedEx Delivery Manager is only available for residential deliveries within the U.S. You must be signed in to the FedEx Mobile app and registered for FedEx Delivery Manager to use selected features.

*Maximize your FedEx experience by allowing the following permissions: Location to find a convenient FedEx location, Camera to scan a shipping label and track a package, and Push Notifications to receive notifications on a package. Also, get Sound Notifications for delivered packages by turning on sound in your settings.
**Shipping administration rules apply.",Everyone,"160,451",Install,4.7,6,5483
com.facebook.creatorstudio,Creator Studio,"Meta Platforms, Inc.",Business,"With a host of tools designed to make scheduling, analyzing and monetizing your videos easier than ever, the Creator Studio app has something for anyone looking to bring the very best content to their audience.

Creator Studio highlights:

A Robust Content Library: View published, drafted and scheduled posts from one location.

Customizable Videos: Edit video titles and descriptions for tailor-made content.

Detailed Video Insights: Analyze page and post-level insights, retention and distribution metrics to tweak your strategies.

Flexible Scheduling: Make changes to your scheduled video posts as your content demands evolve.

Track Video Engagement: Monitor and manage comments and messages from people reacting to your content.",Everyone,"191,028",Install,4.5,7,5286
com.adpmobile.android,ADP Mobile Solutions,"ADP, INC.",Business,"ADP Mobile Solutions provides you with an easy and convenient way to access payroll, time & attendance, benefits, and other vital HR information for you and your team.

- All the features listed below may not be available to you. If you have question, review the FAQs in the Settings menu in the app.

- This app is available to the employees and managers of companies that use the following ADP products: Workforce Now, Vantage, Portal Self Service, Run, TotalSource, ALINE Card by ADP, Spending Account, and select products outside the US (ask your employer).

Key Employee Features:

• View pay & W2 statements
• View & request time off
• Track time & attendance
o Punch in/out
o Create timesheets
o Update, edit, & approve time cards
• View pay card accounts
• View benefit plan information
• Contact colleagues

Key Manager Features:
• Approve time cards
• Approve time off
• View team calendars
• View executive dashboards

Security:
• All application requests and transactions are routed through ADP's secure servers
• All network traffic between the mobile device and the server is encrypted
• All employee information cached on the mobile device is encrypted
• Username and password protected
• Login sessions time out from inactivity
• Accounts locked out with excessive login failures
• Fast and easy login with Biometric Authentication
• Recover or reset forgotten user IDs and passwords

Supported Operating Systems
• Android 6.0 or higher

Investment options are available through the applicable entities for each retirement product. Investment options in the “ADP Direct Products” are available through ADP Broker-Dealer, Inc. (“ADP BD”), Member FINRA, an affiliate of ADP, INC, One ADP Blvd, Roseland, NJ 07068 (“ADP”) or (in the case of certain investments), ADP directly.
Certain advisory services may be provided by Financial Engines™ Professional Management, a service of Financial Engines Advisors, LLC (“FE”). FE’s service are made available through connectivity by ADP, however, FE is neither affiliated with ADP nor any of ADP’s affiliates, parents, or subsidiaries, and is neither endorsed nor recommended by any ADP entity.”",Everyone,"358,043",Install,4.6,8,5210
com.lyft.android.driver,Lyft Driver,"Lyft, Inc.",Business,"Download Lyft Driver, the app created just for drivers.

WHY LYFT?

FLEXIBLE HOURS
Driving with Lyft is an easy way to earn extra cash whenever you want.

$500 MILLION IN TIPS, AND COUNTING
Passengers are encouraged to tip in the app — and you keep the whole amount.

COMMITMENT TO HEALTH
We prioritize your well-being, and our Health Safety Program helps everyone ride confidently.

SUPPORTIVE COMMUNITY
We’re here to help if you need us — via phone, email, and in-person at our Hubs and Driver Centers.

ONE EASY APP
Whether you’re checking local demand for rides or working toward a bonus, the app has everything you need to earn more.

NO CAR NEEDED
With Lyft Express Drive, you don't need your own car to earn. (Available in select markets.)

___
For Lyft drivers, continued use of GPS running in the background can dramatically decrease battery life.

By downloading the app, you agree (i) to receive communications from Lyft, including push notifications; and (ii) to allow Lyft to collect your device's language settings. You can opt out of receiving push notifications through your device settings.",Everyone,"104,140",Install,4.0,9,5024
com.adobe.scan.android,"Adobe Scan: PDF Scanner, OCR",Adobe,Business,"The Adobe Scan scanner app turns your device into a powerful portable scanner that recognizes text automatically (OCR) and allows you to save to multiple files formats including PDF and JPEG.

The most intelligent scanner app. Scan anything — receipts, notes, documents, photos, business cards, whiteboards — with text you can reuse from each PDF and photo scan.

HOW IT WORKS
• With the Adobe Scan scanner app, you can make anything scannable.
• Use the PDF scanner to quickly create a photo scan or PDF scan.
• Scan any document and convert to PDF.

CAPTURE
• Scan anything with precision with this mobile PDF scanner.
• Advanced image technology automatically detects borders, sharpens scanned content, and recognizes text (OCR).

ENHANCE
• Touch up scans or photos from your camera roll.
• Whether it’s a PDF or photo scan, you can preview, reorder, crop, rotate, and adjust color.

CLEANUP UP YOUR SCANS
• Remove and edit imperfections, erase stains, marks, creases, even handwriting.

REUSE
• Turn your photo scan into a high-quality Adobe PDF that unlocks text through automated text recognition (OCR).
• Reuse text from each PDF scan thanks to OCR.

SCAN ANYTHING, ANYWHERE, ANYTIME
• Capture forms, receipts, notes, and business cards with this mobile PDF scanner.
• The Adobe Scan scanner app even lets you scan multi-page documents and save with a single tap.

RECYCLE CONTENT
• The Adobe Scan PDF scanner makes any content scannable and reusable.
• Free, built-in optical character recognition (OCR) lets you reuse scanned text and content by creating a high-quality PDF can work with in the free Adobe Acrobat Reader app.
• You can even turn Adobe Scan into a tax receipt scanner to highlight expenses with ease.

QUICKLY FIND DOCUMENTS IN PHOTO LIBRARY
• This powerful scanner app automatically finds documents and receipts in your photos and turns them into PDF scans, so you don't have to.
• Automatic OCR turns text into content you can edit, resize, and reuse in other documents.

SAVE BUSINESS CARDS TO CONTACTS
• Scan a business card and Adobe Scan turns into a fast business card scanner and reader.
• Contact information will be automatically extracted so you can quickly add to your device contacts — no typing needed.

GET MORE DONE ON THE GO
• Save each scan to Adobe Document Cloud for instant access and sharing.
• Even lengthy legal documents become manageable and scannable with the Adobe Scan scanner app, which lets you search, select, and copy text.
• You can also open a PDF scan in Acrobat Reader to highlight key sections, add comments, fill and sign.

IN-APP PURCHASE
Subscribe for even more scanning power. Subscriptions work across Scan and Reader mobile apps and Acrobat on web.
• Combine scans into one file so you can take multiple scans and consolidate into one document.
• Export PDFs to Microsoft Word or PowerPoint file formats to integrate with your workflows.
• Increase OCR capacity from 25 to 100 pages so that you can find text in multiple scans.

Download the best free mobile scanner to convert photos and documents into PDF and JPEG files wherever you are. With OCR technology, you can easily digitalize books, business cards, and business receipts and access them via the Adobe Document Cloud. Adobe Scan is the PDF converter trusted by millions worldwide. Scan photos to high-quality PDFs or JPEGs and share easier than ever before.

Terms & Conditions:
Your use of this application is governed by the Adobe General Terms of Use http://www.adobe.com/go/terms_en and the Adobe Privacy Policy http://www.adobe.com/go/privacy_policy_en

Do Not Sell My Personal Information: www.adobe.com/go/ca-rights",Everyone,"2,457,456",Install,4.7,10,4989
