app_name,app_package,app_categoryId,reviewId,review,reply,userName,score,at
Perplexity - Ask Anything,ai.perplexity.app.android,PRODUCTIVITY,cb0513b5-ff48-4cfc-adcd-3fdf9bda377a,Too good =
,,Karthick U,5,"Jul 17, 2025"
Perplexity - Ask Anything,ai.perplexity.app.android,PRODUCTIVITY,8ebe87c0-1142-4047-82ac-814d7d0cc99a,excellent =L,,VIPIN KUMAR Mehta,5,"Jul 17, 2025"
Perplexity - Ask Anything,ai.perplexity.app.android,PRODUCTIVITY,9a51a4d9-0828-440b-bb4c-ea555cb0bb5a,Superb,,Anu,5,"Jul 17, 2025"
Perplexity - Ask Anything,ai.perplexity.app.android,PRODUCTIVITY,fedd5deb-a577-4004-87e3-8db1bbf8ae9d,very bad,,susanta mondal,1,"Jul 17, 2025"
Perplexity - Ask Anything,ai.perplexity.app.android,PRODUCTIVITY,d360c6b0-1632-41ed-a770-dcb858151daa,best,,Bathula Venkatakrishna,5,"Jul 17, 2025"
Perplexity - Ask Anything,ai.perplexity.app.android,PRODUCTIVITY,65f8a881-fb5e-4cb8-8460-20b118a33c84,WOW =.,,Bharat Kakkar,5,"Jul 17, 2025"
Perplexity - Ask Anything,ai.perplexity.app.android,PRODUCTIVITY,8ada70de-ea33-4b32-860c-980b46c7bcc6,"Lack of Direct File Output: The assistant cannot directly create or deliver editable document files (e.g., Word .docx), requiring users to manually implement provided instructions, which can be less convenient.",,Pranav Uike,1,"Jul 17, 2025"
Perplexity - Ask Anything,ai.perplexity.app.android,PRODUCTIVITY,80fce31a-f3d2-4836-a1a5-f7fccc186aa5,=Kairtel is giving free premium of perplexity just go Airtel app and go to reward section and scroll it then u will find it!!!,,Prajyot Gond,5,"Jul 17, 2025"
Perplexity - Ask Anything,ai.perplexity.app.android,PRODUCTIVITY,b5418f2b-6ff9-4247-b9d8-6fa68c3c09f2,very efficient,,Himanshu Yadav,5,"Jul 17, 2025"
Perplexity - Ask Anything,ai.perplexity.app.android,PRODUCTIVITY,5214aac8-27de-4a8b-aaef-79f00ea7b9b5,very good app,,Abhishek Abhishek gautam,5,"Jul 17, 2025"
Perplexity - Ask Anything,ai.perplexity.app.android,PRODUCTIVITY,27f43221-f4a3-4a17-a710-1d1b499e0c11,good app,,Manoj Kumar,5,"Jul 17, 2025"
Perplexity - Ask Anything,ai.perplexity.app.android,PRODUCTIVITY,c029de38-6f74-4095-b3f1-e5a26477ffe7,Even though it's good but still I have faced one problem that I can't change the default AI voice even though there are options but they are useless,,Amit,3,"Jul 17, 2025"
Perplexity - Ask Anything,ai.perplexity.app.android,PRODUCTIVITY,ea5e0fa0-b842-4914-84d3-1463eb7bdeab,on of the best ai available in market,,Sishan Sarkar,5,"Jul 17, 2025"
Perplexity - Ask Anything,ai.perplexity.app.android,PRODUCTIVITY,4d357868-710b-4d9a-9c18-b76a096ebe10,"The pro version, supports literally all top AI models, making it a one stop solution.",,Ashutosh Joshi,5,"Jul 17, 2025"
Perplexity - Ask Anything,ai.perplexity.app.android,PRODUCTIVITY,c54e5da9-b9e9-4b68-a564-e2923421cec2,super,,Harshitha Yadav,5,"Jul 17, 2025"
